sentence,modified,transformation
"This war was significant because it allowed Russia to become the dominant power in Northeastern Europe, instead of Sweden.","This war were significant because it allowed Russia to become the dominant power in Northeastern Europe, instead of Sweden.",ReplaceTokensDestroyer
The mountain ash is blooming. It's time to sow flax.,The mountain ash is blooming. It's time to sowing flax.,ProgressiveDestroyOperation
"I think Tom and Mary are going to do that, too.","I thinking Tom and Mary is going to do that, to.",ReplaceTokensDestroyer
"Almost all his decisions are based on food and this, at times, gets him and the pups into trouble.","Almost all his decisions is based on food and this, at times, get him and the pups into trouble.",ThirdPersonVerbChanger
Adding more wool and poking it repeatedly into the felt makes a simple shape.,Adding more wool and poke it repeatedly into the felt made a simple shape.,VerbAgreementDestroyer
's men had taken their positions outside Lahore.,'s men had take their positions outside Lahore.,VerbAgreementDestroyer
We were broke.,We was broke.,ReplaceTokensDestroyer
It's said that they will soon be leaving Tokyo.,Its said that they will soon be leaving Tokyo,CommonMispellsDestroyOperation
"As the home of the Muses, Mount Parnassus became known as the home of poetry, music, and learning.","As home of the Muses, Mount Parnassus became known as the home of poetry, music, and learning.",DeterminersDestroyer
"Plants, obviously, cannot move after they have put down roots.",Plants obviously cannot move after they have put down roots,RemovePunctuationDestroyer
I don't know anything about their relationship.,I doesn't know anything about their relationship.,ThirdPersonVerbChanger
Tom hates his younger brother.,Tom hates his younger brother,RemovePunctuationDestroyer
The practice of male circumcision is ancient and developed in parallel amongst different cultures.,The practice of male circumcision am ancient and developed in parallel amongst different cultures.,ThirdPersonVerbChanger
"The 2007 novel, On Chesil Beach, was a short novel about one couple in England and how they experience love and sexuality in the early 1960s.","The 2007 novel, On Chesil Beach, were a short novel about one couple in England and how they experience love and sexuality in the early 1960s.",ReplaceTokensDestroyer
The girl ran away.,girl ran away.,DeterminersDestroyer
I'm tired of eating sausages.,I is tired of eating sausages.,ThirdPersonVerbChanger
It can also be made up of a few pages that are folded in half and stapled at the crease to make a simple book.,It also be made up of a few pages that are folded in half and stapled at the crease to make a simple book.,ModalVerbRemover
Tom doesn't clean up after himself.,Tom don't clean up after himself.,ThirdPersonVerbChanger
The Super Advantage is an arcade stick similar to the NES Advantage.,The Super Advantage is an arcade stick similar to the NES Advantage,RemovePunctuationDestroyer
"Jean-Pierre Kalfon, known professionally as Hector (20 October 1946 - 19 February 2020) was a French singer.","Jean-Pierre Kalfon, known professionally as Hector (20 October 1946 - 19 February 2020) was an French singer.",DeterminersReplacer
Tom still hasn't paid this month's rent.,Tom still haven't paid this month's rent.,ThirdPersonVerbChanger
Mennad is safe.,Mennads is safe.,SingularsAndPluralsDestroyer
How can you translate what you don't understand?,How can you translate what you doesn't understand?,ThirdPersonVerbChanger
Have you ever done a prank on one of your parents before?,Have you ever done a prank at one of your parents before?,InAtOnDestroyer
"I know that I shouldn't do that, but I think I will.",I known that I shouldnt do that but I think I will,RemovePunctuationDestroyer
This anti-barking collar sprays citronella into the dog's face when the microphone detects barking.,This anti-barking collar sprays citronella into the dog's face when the microphone detected barking.,VerbAgreementDestroyer
Eddy Mazzoleni who was in his first year for the team would also leave.,Eddy Mazzoleni who is in his first year for the team also leaved.,TimeAgreementDestroyer
"She competed for the New Zealand women's national water polo team in the 2017 World Aquatics Championships, citation citation citation citation and 2019 World Aquatics Championships.","She competed for New Zealand women's national water polo team in the 2017 World Aquatics Championships, citation citation citation citation and 2019 World Aquatics Championships.",DeterminersDestroyer
They found jobs that they like.,They found jobs that they like,RemovePunctuationDestroyer
"AMC stands for American Movie Classics, which the channel was first based around.","AMC stands for American Moive Classics, which the channel was first bsaed around.",RandomTypoDestroyOperation
Its main role is to produce forecast models.,its main role is to produce forecast models,CapitalsDestroyer
Tom told me he thought Mary was conscientious.,tom told me he thought mary was conscientious,RemovePunctuationDestroyer
The well furnished Paravur-Chathannoor road is passing through Meenad.,The well furnished Paravur-Chathannoor road am passing through Meenad.,ThirdPersonVerbChanger
Would you like to go shopping with me?,Would you like to go shopping with me,RemovePunctuationDestroyer
Sami lives about a block away from here.,Sami live about a block away from here.,ThirdPersonVerbChanger
Tom isn't going to do that again.,Tom isn't going to doing that again.,ProgressiveDestroyOperation
This question must be asked.,This question be asked.,ModalVerbRemover
"Today, Speedminton is played all around the world.","Today, Speedminton is played all around world.",DeterminersDestroyer
I want you to look out the window.,I wants you to look out the window.,ThirdPersonVerbChanger
At the leading edge of a moving continental plate there will be little or no shelf.,At the leading edge of an moving continental plate there will be little or no shelf.,DeterminersReplacer
The trees became reddish-brown.,trees became reddish-brown.,DeterminersDestroyer
Robert G. Bailey developed a biogeographical classification system for the United States in a map published in 1975.,Robert G. Bailey developed an biogeographical classification system for the United States in an map published in 1975.,DeterminersReplacer
"The tallest dome, Mount Olga, is convert above the surrounding plain.","The tallest dome, Mount Olga, is converting above the surrounding plain.",ProgressiveDestroyOperation
They have many different properties.,They having many different properties.,ProgressiveDestroyOperation
Tom said he likes to help others.,Tom said he likes for help others.,ToForDestroyer
He was arrested at the Algerian border.,He was arrested at the Algerian bordest.,ComparativeSuperlativeDestroyer
"Beipiaosaurus had a toothless beak, cheek teeth, and protofeathers.","Beipiaosaurus had toothless beak, cheek teeth, and protofeathers.",DeterminersDestroyer
We must take from Cesar what does not belong to him.,We take from Cesar what does not belong to him.,ModalVerbRemover
Fiction reveals truth that reality obscures.,Fiction reveals truth that reality obscures,RemovePunctuationDestroyer
The food in Algiers is absolutely incredible.,The food in Algiers am absolutely incredible,ThirdPersonVerbChanger
"Charlie's Girl, Happy to Trade on Daddy's Name; as Geraldine Goes Home, New Life Fills the Tramp's Swiss Retreat.","Charlie's Girl, Happy to Trade in Daddy's Name; as Geraldine Goes Home, New Life Fills the Tramp's Swiss Retreat.",InAtOnDestroyer
"Tom, you're wanted on the phone.","Tom, youbeing wanted on the phone.",ProgressiveDestroyOperation
"About 7.68% of total migraine cases are chronic migraines and about 1% of people in the United States have CM, with a higher rate among females, middle-aged people, and in those households that had the lowest annual income.","About 7.68% of total migraine cases are chronic migraines and about 1% of people in the United States having CM, with a highest rate among females, middle-aged people, and in those households that had the lower annual income.",ComparativeSuperlativeDestroyer
"When Sora forgets Kairi, she is replaced by Namine.","When Sora forgets Kairi, she am replaced by Namine.",PrepositionVerbAgreementDestroyer
"He started playing with the Montreal Jr. Royals for three seasons from 1947 to 1950, and made his debut with the Montreal Canadiens in the middle of the 1951-52 season.",He started playing with the Montreal Jr Royals for three seasons from 1947 to 1950 and made his debut with the Montreal Canadiens in the middle of the 1951-52 season,RemovePunctuationDestroyer
Tom made Mary some toys.,Toms made Marys some toy.,SingularsAndPluralsDestroyer
The appearance of these new predators coincides with the decline of Gastornis and its relatives.,The appearance of these new predators coincide with the decline of Gastornis and its relatives.,ThirdPersonVerbChanger
"You think you're impressing people doing an end run around normal procedures, but you'll just wind up with a reputation of not being a team player.","You think you're impressing people doing an end run around normal procedures, but you'll just winding up with a reputation of not being a team player.",ProgressiveDestroyOperation
"The Ghermezians claimed they were never told of the deal and sued Simon, citing fiduciary responsibility.","The Ghermezians claimed they was never told of the deal and sued Simon, citing fiduciary responsibility.",ReplaceTokensDestroyer
"Kaiali`i Kahele (born March 28, 1974) citation is an American politician, educator, and commercial pilot.",Kaiali`i Kahele born March 28 1974 citation is an American politician educator and commercial pilot,RemovePunctuationDestroyer
Tom must have escaped.,Tom must having escaped.,ProgressiveDestroyOperation
A few minutes' walk brought him to the zoo.,A few minutes walk brought him to the zoo,RemovePunctuationDestroyer
"If you abuse your computer, it won't work well.","If you abuses your computer, it won't work well.",ThirdPersonVerbChanger
It was Tom who asked the question.,It was Tom who asked question.,DeterminersDestroyer
I don't want to watch that.,I don't want for watch that.,ToForDestroyer
"Most of the time, where legal, brothels need to be registered like other businesses.","Most of the times, where legal, brothel need to be registered like other business.",SingularsAndPluralsDestroyer
"Disgusted with Sir Floyer's rudeness and the Harrels' silliness, she stays for a while with Mrs. Delvile, whom she has become fond of, and Mortimer.","Disgusted with Sir Floyer's rudeness and the Harrels' silliness, she stay for a while with Mrs. Delvile, whom she have become fond of, and Mortimer.",ThirdPersonVerbChanger
Then I had my idea of a white line painted down the center of the highways of the country as a safety measure.,Then I had my idea of white line painted down center of the highways of the country as a safety measure.,DeterminersDestroyer
It's for tourists.,Its for tourists.,CommonMispellsDestroyOperation
"He was reportedly upset with the delays and poor sales of ""Special Occasion,"" which caused his decision to leave the labels.","He was reportedly upset with the delays and poor sales of ""Special Occasion,"" which caused his decision to leaving the labels.",ProgressiveDestroyOperation
"They stand on a scroll Azure with the text ""Je Maintiendrai"" (medieval French for ""I will endure"".","They standings on a scroll Azure with the text ""Je Maintiendrai"" (medieval French for ""I will endure"".",ThirdPersonVerbChanger
"In 1978, it was re-published in English with commentary in Russian for school reading.","In 1978, it were re-published in Englishes with commentaries in Russians for schools readings.",SingularsAndPluralsDestroyer
She first appears in Season 4. Roxy is the Fairy of Animals and has straight purple hair.,She first appear in Season 4. Roxy be the Fairy of Animals and has straight purple hair.,VerbAgreementDestroyer
I'm not in the mood for pizza.,Ibeing not in the mood for pizza.,ProgressiveDestroyOperation
"Although still a pagan, he gave several large estates on the Isle of Wight to bishop Wilfrid.","Although still an pagan, he gave several large estates on the Isle of Wight to bishop Wilfrid.",DeterminersReplacer
"The reported flow rate of the Hamza, at about convert per second, is 3% of the Amazon's.","The reported flow rate of the Hamza, at about convert per second, is 3% of the Aamzon's.",RandomTypoDestroyOperation
What you're saying is absolutely wrong.,What your saying is absolutely wrong,CommonMispellsDestroyOperation
She describes herself as never being the best at anything and never winning prizes as there were not any for reading books.,She describe herself as never being the best at anything and never winning prizes as there were not any for reading books.,PrepositionVerbAgreementDestroyer
"It is often referred as a ""liberal"" sect and is passed along familial ties.","It is often referred as a ""liberal"" sects and is passed along familial ty.",SingularsAndPluralsDestroyer
I'm going to take a little nap.,I'm going for take a little nap.,ToForDestroyer
He was the seventh son of Emperor Go-Saga and the younger brother of Emperor Go-Fukakusa.,He were the seventh son of Emperor Go-Saga and the younger brother of Emperor Go-Fukakusa.,ReplaceTokensDestroyer
Please fetch me a piece of paper.,Please fetch me an piece of paper.,DeterminersReplacer
We shouldn't do this to them.,We n't do this to them.,ModalVerbRemover
"There was a dramatic, dark, and sinister tone which Disney did not want in his family movie.","There was dramatic, dark, and sinister tone which Disney did not want in his family movie.",DeterminersDestroyer
Spiders can detect electric fields.,Spider can detect electric field.,SingularsAndPluralsDestroyer
The territory may be large enough to hold some young adults who live with their parents until they have their own territory.,The territory be large enough to hold some young adults who live with their parents until they have their own territory.,ModalVerbRemover
"After taking the case to the Supreme Court, Geo was re-awarded the sole and exclusive rights to host the tournament.","After taking the case to the Supreme Court, Geo were re-awarded the sole and exclusive rights to host the tournament.",ReplaceTokensDestroyer
"The Iraqi resistance were widely considered to be stronger in this province than in any other in Iraq, and hostility toward Against American forces.","The Iraqi resistance were widely considered to be stronger on this province than on any other on Iraq, and hostility toward Against American forces.",InAtOnDestroyer
Mark Sarvary and Frank Castelli studied why a majority of students -- 90% of the 276 students they surveyed -- kept their video cameras off during class. More than 41% of students said it was because they were concerned about their appearance.,Mark Sarvary and Frank Castelli studied why a majority of students -- 90% of the 276 students they surveyed -- kept their video cameras off during class. More then 41% of students said it were because they was concerned about their appearance.,ReplaceTokensDestroyer
"The result of an EJB QL query is either a single object, a collection of entity objects of a given type, or a collection of values retrieved from CMP fields.",The result of an EJB QL query am either a single object a collection of entity objects of a given type or a collection of values retrieved from CMP fields,ThirdPersonVerbChanger
I most certainly didn't say that.,I most certainly didnt say that,RemovePunctuationDestroyer
"Gardony, ""the capital of Lake Velencei"", is a holiday resort on the south side of the lake.","Gardony, ""the capital of Lake Velencei"", am a holiday resort on the south side of the lake.",ThirdPersonVerbChanger
"Essentially, the dupatta is often treated as an accessory in current urban fashion.","Essentially, the dupatta is often treated as a accessory in current urban fashion.",DeterminersReplacer
"A Lance-Sergeant in the Guards and Honourable Artillery Company wears three chevrons, and is considered senior or higher up to ""normal"" Corporals.","A Lance-Sergeant in the Guards and Honourable Artillery Company wore three chevrons, and was considered senior or higher up to ""normal"" Corporals.",VerbAgreementDestroyer
We travel light.,We travel light,RemovePunctuationDestroyer
In total there were 258 British deaths.,Intotal there were 258 British deaths,CommonMispellsDestroyOperation
The pit lane is next to the main straight with the start/finish line.,pit lane is next to main straight with the start/finish line.,DeterminersDestroyer
I buy a tape.,I buy an tape.,DeterminersReplacer
Tom is probably going to get hurt if he does that.,Tom is probably going to get hurt if he does that,RemovePunctuationDestroyer
Ziri hit the notification bell.,Ziri hit notification bell.,DeterminersDestroyer
"Newsome is the NFL's third all-time leading receiver for a tight end, with 662 career catches.","Newsome is the NFLs third all-time leading most receiv for a tight end, with 662 carest catches.",ComparativeSuperlativeDestroyer
Here Pamela somehow tries to do harm to Anu.,Here Pamela somehow tries to doing harm to Anu.,ProgressiveDestroyOperation
"In art, the most famous representation was a marble group of Niobe and her children, taken by Sosius to Rome and set up in the temple of Apollo Sosianus (Pliny, Nat. Hist. xxxvi.","In art, most famous representation was marble group of Niobe and her children, taken by Sosius to Rome and set up in the temple of Apollo Sosianus (Pliny, Nat. Hist. xxxvi.",DeterminersDestroyer
He would not admit his fault.,He not admit his fault.,ModalVerbRemover
There's no milk in the glass.,Theres no milk in the glass,RemovePunctuationDestroyer
He's a musicologist.,He am a musicologist.,ThirdPersonVerbChanger
The meat is roasting.,The meat am roasting.,ThirdPersonVerbChanger
Instructions will be given to you.,Instructions being given to you.,ProgressiveDestroyOperation
Nobody wanted to hate my country.,Nobody wanted to hating my country.,ProgressiveDestroyOperation
Gout occurs nearly half of the time without hyperuricemia and most people with raised uric acid levels never develop gout.,Gout occurs nearly half of the time without hyperuricemia and more people with raised uric acid levels never develop gout.,ComparativeSuperlativeDestroyer
Tom told me that he couldn't do that.,Tom told me that he couldn't do .,DeterminersDestroyer
Ziri wanted to get a new Berber teacher.,Ziri wanting to get a new Berber teacher.,VerbAgreementDestroyer
The surface gravity on Mars is more than a third of Earth's.,The surface gravity on Mars is more than a third of Earths.,PossessivesDestroyer
"This is different from most other revolvers, which fire from the top of the cylinder.","is different from most other revolvers, which fire from top of the cylinder.",DeterminersDestroyer
Sauron was defeated and the war ended.,Sauron were defeated and the war ended.,ReplaceTokensDestroyer
"Polisario claimed to have killed more than 5,000 Moroccan soldiers between 1982 and 1985.","Polisario claimed to have killed more then 5,000 Moroccan soldiers between 1982 and 1985.",ReplaceTokensDestroyer
"You'll see, next time it'll be better!","You'll see, next time it'll be best!",ComparativeSuperlativeDestroyer
Each LDH molecule is made of four subunits.,Each LDH molecule am made of four subunits.,ThirdPersonVerbChanger
Kapoor's off-screen life is the subject of widespread coverage in India.,Kapoor's off-screen life is the subject of widespread coverage on India.,InAtOnDestroyer
We now know a good deal about how the development of segmented animals is controlled.,We now know a good deal about how the development of segmented animals is control.,VerbAgreementDestroyer
The general term for a young horse is foal.,The general term for an young horse is foal.,DeterminersReplacer
You could've had better exam results.,You could had had better exam results.,VerbAgreementDestroyer
It has been suggested that they may have been unable to adapt to the changing climate.,It has been suggested that they may have are unable to adapting to the changed climate.,VerbAgreementDestroyer
He watched the sailor drown right in front of his eyes and he couldn't do anything to save him.,He watched the sailors drown right in fronts of his eye and he couldn't do anythings to save him.,SingularsAndPluralsDestroyer
"Once the game is completed, the game has a second walkthrough with Cassandra as the playable character.","Once game is completed, the game has second walkthrough with Cassandra as the playable character.",DeterminersDestroyer
Does Algeria still produce automobiles?,Does Algeria still produce automobiles,RemovePunctuationDestroyer
"The cause and effect of a certain behavior, though, is tough to analyze due to presence of multiple variables in a natural environment.","cause and effect of certain behavior, though, is tough to analyze due to presence of multiple variables in a natural environment.",DeterminersDestroyer
His cruelty earned him the nickname The Devil.,His cruelty earned him teh nickname The Deivl.,RandomTypoDestroyOperation
We each have our own view of the world.,We each has our own view of the world.,ThirdPersonVerbChanger
"At his mother's urging, Milarepa left home and studied magic so that he could take revenge on his uncle and aunt.","At his mothest's urging, Milarepa left home and studied magic so that he could take revenge on his uncle and aunt.",ComparativeSuperlativeDestroyer
"The book itself tells us only that his grandfather was Iddo, a priest who returned with Zerubbabel from Babylon.","The book itself tell us only that his grandfather was Iddo, a priest who returned with Zerubbabel from Babylon.",PrepositionVerbAgreementDestroyer
Do Tom and Mary like to do that same kinds of things?,Do Tom and Mary likes to doing that same kinds of things?,ThirdPersonVerbChanger
The correspondence is kept in several files.,The correspondences is kept in several file.,SingularsAndPluralsDestroyer
It's half past two now.,Its half past two now.,CommonMispellsDestroyOperation
"Now that I know, I'll be more careful.","Now that I knows, I'll be more careful.",ThirdPersonVerbChanger
"I'd like that, too.","Me like that, too.",ModalVerbRemover
The shoreline and coastal wetlands provide critical feeding and resting habitat for shorebirds and waders.,The shoreline and coastal wetlands provides critical feeding and resting habitat for shorebirds and waders.,ThirdPersonVerbChanger
She pushed him off the pier.,She pushed him off pier.,DeterminersDestroyer
"Back home, Gordy tells Beth that it would be better if Boog were released into the wild.","Back home, Gordy told Beth that it would be better if Boog is released into the wild.",VerbAgreementDestroyer
I don't work tomorrow.,I don't work tomorrows.,SingularsAndPluralsDestroyer
"He has a twin brother, an older brother, and a younger sister.","He have a twin brother, an older brother, and a younger sister.",PrepositionVerbAgreementDestroyer
I haven't told anyone about the party yet.,i haven't told anyone about the party yet.,CapitalsDestroyer
Vendetta is typical of societies with a weak rule of law or in those where the state does not consider itself responsible for helping with this kind of dispute.,Vendetta is typical of societies with a weak rule of law or in those where the state does not considering itself responsible for helping with this kind of dispute.,ProgressiveDestroyOperation
"Beginning in 2019, Boeing will deliver a new version of the 777, the 777X.","Beginning in 2019, Boeing will deliver an new version of the 777, the 777X.",DeterminersReplacer
"Tomb of Alonso Fernandez de Lugo, conqueror of the island and city founder.","Tomb of Alonso Fernandez de Lugo, conqueror of island and city founder.",DeterminersDestroyer
Tom and Mary barricaded themselves in their room.,Tom and Mary barricaded themselves at their room.,InAtOnDestroyer
She has black hair and loves to sing. She comes from a planet called Melody.,She has black hair and loves for sing. She comes from a planet called Melody.,ToForDestroyer
How about I invite you for coffee?,How about I invite you for coffee,RemovePunctuationDestroyer
"You're not a morning person, I understand.","Youbeing not a morning person, I understand.",ProgressiveDestroyOperation
I wish someone would say something like that to me.,I wish someone say something like that to me.,ModalVerbRemover
You always make the same mistake.,You always makings the same mistake.,ThirdPersonVerbChanger
I thought you might be busy.,I thought you be busy.,ModalVerbRemover
"The four singles from the album were Here's to Never Growing Up, Rock n Roll, Let Me Go, and Hello Kitty.","The four single from the albums were Here's to Never Growing Up, Rocks ns Rolls, Let Me Go, and Helloes Kittys.",SingularsAndPluralsDestroyer
"He decides to find the ""aliens.""","He decides to find ""aliens.""",DeterminersDestroyer
Mary wanted to marry a man with ambition.,Mary wanted for marry a man with ambition.,ToForDestroyer
"Forcadell entered politics in 1999, when she joined the ERC (Esquerra Republicana).","Forcadell entering politics in 1999, when she joined the ERC (Esquerra Republicana).",VerbAgreementDestroyer
They describe how the electrons behave and orbit the nucleus.,They describes how the electrons behaved and orbit the nucleus.,VerbAgreementDestroyer
There are only 28 days in February this year.,There being only 28 days in February this year.,ProgressiveDestroyOperation
Columba felt remorse over the deaths this caused.,Columba felt remorse over deaths caused.,DeterminersDestroyer
"Mary likes to swim, doesn't she?","Mary likes to swimming, doesn't she?",ProgressiveDestroyOperation
"The production, and stockpiling of such weapons was forbidden in the Biological Weapons Convention of 1972.","The production, and stockpiling of such weapons were forbidden in the Biological Weapons Convention of 1972.",ReplaceTokensDestroyer
This was still four times the size of the regular army.,was still four times size of the regular army.,DeterminersDestroyer
She finds Gabriel among the sick.,She find Gabriel among the sick.,ThirdPersonVerbChanger
Ziri wrote a letter to Rima.,Ziri wrote an letter to Rima.,DeterminersReplacer
The forest even provides a way to make hunting easier.,The forest even provides a way to makes hunting easier.,VerbAgreementDestroyer
All teams must inform UEFA if there are other existing restrictions other than those published.,All teams must inform UEFA if there is other existing restrictions other than those published.,ThirdPersonVerbChanger
"I know that I shouldn't do that, but I think I will.","I know that I n't do that, but I think I .",ModalVerbRemover
There are more Buddhists in Germany today than people who know how to make a good chocolate cake.,There was more Buddhists in Germany today than people who knew how to made a good chocolate cake.,TimeAgreementDestroyer
Hermia and Lysander decide to run away.,Hermia and Lysander decide to run away,RemovePunctuationDestroyer
Some researchers (Cathcart) claim the onset of diarrhoea to be an indication of where the body's true vitamin C requirement lies.,Some researchers (Cathcart) claims the onset of diarrhoea to were an indication of where the body's true vitamin C requirement lies.,VerbAgreementDestroyer
"A woman's wedding day is the one time she can be the center of attention without any lingering feelings of guilt, according to Jellison.","A woman's wedding day are the one time she can are the center of attention without any lingering feelings of guilt, according to Jellison.",VerbAgreementDestroyer
"There are hanbok for men, women, royal court, government officials and children.",There are hanbok for men women royal court government officials and children,RemovePunctuationDestroyer
"When it's windy, the leaves of the old oak rustle and its branches creak.","When it's windy, the leaves of the old oak rustle and its branches creaking.",ProgressiveDestroyOperation
"In multiplayer mode, up to 4 people can play against each other non-stop.","In multiplayer mode, up to 4 people can playing against each other non-stop.",ProgressiveDestroyOperation
It was ordered by the IBA to reform into Central Independent Television.,It was ordered by IBA to reform into Central Independent Television.,DeterminersDestroyer
One of us has to go to Australia next week.,One of us have to go to Australia next week.,PrepositionVerbAgreementDestroyer
"In 2002, Eli Lilly made more products for people with diabetes than any other company.","in 2002, eli lilly made most products for people with diabetes than any other company.",ComparativeSuperlativeDestroyer
"I wanted to do it, but could not.","I wanted to doing it, but could not.",ProgressiveDestroyOperation
It has 2 sequels.,It has 2 sequel.,SingularsAndPluralsDestroyer
Can you help me with these?,Can you help me with ?,DeterminersDestroyer
Tom wants to buy a small house on Park Street.,Toms wants to buy a small houses on Parks Streets.,SingularsAndPluralsDestroyer
They said they're not busy.,They said theybeing not busy.,ProgressiveDestroyOperation
In 1960 the Burmese government awarded him the title Maha Thray Sithu as a commander in the Pyidaungsu Sithu Thingaha Order (similar to an order of knights).,In 1960 the Burmese government awarded hmi the title Maha Thray Sithu as a commander ni the Pyidaungsu Sithu Thingaha Order (similar to an order of knights).,RandomTypoDestroyOperation
"Spathiphyllum species contain Calcium oxalate, which may cause skin irritations, a burning sensation and difficulty swallowing.","Spathiphyllum species contain Calcium oxalate, which may causing skin irritations, a burning sensation and difficulty swallowing.",ProgressiveDestroyOperation
"In addition a small but significant number of closed stations have reopened, and passenger services been restored on lines where they had been closed or removed.","In addition a small but significant number of closed stations has reopened, and passenger services been restored on lines where they had been closed or removed.",ThirdPersonVerbChanger
Tom is going to be home any minute now.,Tom am going to be home any minute now.,ThirdPersonVerbChanger
Are you ever going to do that again?,Are you ever going for do that again?,ToForDestroyer
May I ask you to close the window?,I ask you to close the window?,ModalVerbRemover
"You've never studied French, have you?",Youve never studied French have you,RemovePunctuationDestroyer
"Sami was on the other side of the world, preparing for Layla's arrival.","Sami were on the other side of the world, preparing for Laylas arrival.",PossessivesDestroyer
The conflict began in late 1960s and escalated in the 1970s.,conflict began in late 1960s and escalated in 1970s.,DeterminersDestroyer
"So Mary the prophetess, the sister of Aaron, took a timbrel in her hand: and all the women went forth after her with timbrels and with dances.","So Mary prophetess, the sistest of Aaron, took a timbrel in her hand: and all the women went forth after her with timbrels and with dances.",ComparativeSuperlativeDestroyer
"It is chosen by the town council, and can have both professional and honorary members.",It is chosen by the town council and can have both professional and honorary members,RemovePunctuationDestroyer
"This also stands as the last movie in the series to be written by Herz, who conceptualized the franchise.","also stands as last movie in the series to be written by Herz, who conceptualized the franchise.",DeterminersDestroyer
The history mentioned that Kirats ruled Nepal during the 7th century BC.,history mentioned that Kirats ruled Nepal during 7th century BC.,DeterminersDestroyer
It has been there since 967 AD.,It have been there since 967 AD.,ThirdPersonVerbChanger
"I'm staying in bed, because it's too cold outside.","Ibeing staying in bed, because it's too cold outside.",ProgressiveDestroyOperation
"It continued weakening into a tropical depression on December 8, and it dissipated soon after that.","It continued weakening into a tropical depression in December 8, and it dissipated soon after that.",InAtOnDestroyer
"In late 1949, Hearst sent a telegram to all Hearst editors: ""Puff Graham.""","In late 1949, Hearst sent telegram to Hearst editors: ""Puff Graham.""",DeterminersDestroyer
Many of the band's members are from there.,Many of band's members are from there.,DeterminersDestroyer
I've already heard about that.,I've already heard about .,DeterminersDestroyer
"The movie was theatrically released in the United States on August 12, 2016.","The movies was theatrically released in the Uniteds Statess on Augusts 12, 2016.",SingularsAndPluralsDestroyer
This happened a million years ago.,This happened a million years ago,RemovePunctuationDestroyer
"King said he would pay Bass six pence a pound, half the current price in Sydney.",King said he would pay Bass six pence a pound half the current price in Sydney,RemovePunctuationDestroyer
"So I think that's pretty much a closed book for me.""","So I thinks that am pretty much a closed book for me.""",ThirdPersonVerbChanger
All the boys ran away.,All the boys ran away,RemovePunctuationDestroyer
We're short of workers now.,Were short of workers now,RemovePunctuationDestroyer
the equal protection of the laws.,equal protection of the laws.,DeterminersDestroyer
I promise I'll bring it right back.,I promise me'll bring it right back.,IMeDestroyer
The hands on the clock've stopped.,hand on the clock'ves stopped.,SingularsAndPluralsDestroyer
"They come in many different colors: black, red, pink, and even blue.","They come at many different colors: black, red, pink, and even blue.",InAtOnDestroyer
"Last year, incomes rose for all races, all age groups, for men and for women.","Last year, incomes rose to all races, all age groups, to men and to women.",ToForDestroyer
"Today it is still popular as a dance, and is still danced in Cuba.","Today it is still popular as dance, and is still danced in Cuba.",DeterminersDestroyer
He says he is leaving the country for good.,He say he am leaving the country for good.,ThirdPersonVerbChanger
The Beatles only found this out when they tried to use the place to record.,The Beatles only found this out when they tried to using the place to record.,ProgressiveDestroyOperation
A total of 22 nations sent athletes to compete at the Antwerp games.,A total of 22 nations send athletes to competing at the Antwerp games.,ProgressiveDestroyOperation
"Proteins form structures, and also form enzymes.","Proteins form structures, and also forms enzymes.",ThirdPersonVerbChanger
A school building was put up in December 1871.,A schools buildings was put up in Decembers 1871.,SingularsAndPluralsDestroyer
These samples would be returned to Earth for study three years later.,These samples would be returned for Earth to study three years later.,ToForDestroyer
Horsehair is used for the hairs of the bow.,Horsehair is used to the hairs of the bow.,ToForDestroyer
Tom doesn't deserve a second chance.,Toms don't deserve a second chances.,SingularsAndPluralsDestroyer
"Urdu in its less formalized register has been called a rekhta (rykhth, ), meaning ""rough mixture"".","Urdu on its least formalized most regist has been called a rekhta (rykhth, ), meaning ""rough mixture"".",ComparativeSuperlativeDestroyer
"Their seventh studio album Serenity in Fire was released on March 9, 2004.",Their seventh studio album Serenity in Fire was released on March 9 2004,RemovePunctuationDestroyer
How long are they staying here?,How long are they staying here,RemovePunctuationDestroyer
It could rain tonight.,It rain tonight.,ModalVerbRemover
"One of her most well-known books was ""An Historical and Moral View of the Origin and Progress of the French Revolution (1794).","One of her most well-known books was ""A Historical and Moral View of the Origin and Progress of the French Revolution (1794).",DeterminersReplacer
I don't think that Tom understood what was going on.,I doesn't think that Tom understand what be going on.,VerbAgreementDestroyer
I'm feeling naughty now.,I is feeling naughty now.,ThirdPersonVerbChanger
There are too many tourists.,There being too many tourists.,ProgressiveDestroyOperation
I wonder whether Tom has ever considered buying a smaller car.,I wonder whether Tom has ever considered buying a smallest car.,ComparativeSuperlativeDestroyer
Will you take right and true advice?,Will you taking right and true advice?,ProgressiveDestroyOperation
"They gave the part in Range 15 West to Pawnee County; the portion included in Ranges 11, 12, 13 and 14 to Barton County; and the south half of the county, excepting the portion in Range 15, was added to Pratt County.","They gave the part in Range 15 West to Pawnee County; the portion included in Ranges 11, 12, 13 and 14 to Barton County; and the south half of the county, excepting the portion in Range 15, were added to Pratt County.",ReplaceTokensDestroyer
I don't know Tom that well.,I don't know Tom that good.,ReplaceTokensDestroyer
"As long as you don't tell Tom where it is, I'm sure he won't find it.",As long as you dont tell Tom where it is Im sure he wont find it,RemovePunctuationDestroyer
